SampleID_Tara	Campaign	Station	Event	Env feature_abbrev	Env feature	Shannon_Darwin_mean_all	Shannon_Darwin_month_all	Shannon_Darwin_mean_grp	Shannon_Darwin_month_grp	Shannon_Physat_month	Shannon_Physat_mean	miTAG.SILVA.Chao	miTAG.SILVA.ace	miTAG.SILVA.Shannon	miTAG.SILVA.Richness	wFDc	OG.Richness	OG.Evenness
TARA_B100001027	TARA_20110401Z	TARA_098	TARA_20110403T1344Z_098_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.187939	0.566961	0.475933	0.723323	NA	0.317446	3094.568283	3050.461137	6.279306036	2195	7.089089275	14079.2	0.742122618
TARA_B100000989	TARA_20110311Z	TARA_096	TARA_20110324T1300Z_096_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.123093	0.150081	0.257507	0.346406	NA	0.493911	3194.057629	3117.6554	6.149505917	2184.43	7.097530816	14495.6	0.740746078
TARA_B100001057	TARA_20110311Z	TARA_094	TARA_20110318T1157Z_094_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.442	0.750059	0.511343	0.578278	0.545172	0.680658	3832.738923	3710.162034	6.674049322	2711.48	7.185775977	16192	0.741392402
TARA_B100001059	TARA_20110311Z	TARA_093	TARA_20110312T1937Z_093_Combined-EVENTS_CAST	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.54852	0.800918	0.276323	0.415967	1.146895	0.995357	5020.252442	4996.616558	6.694159883	3369.39	7.366923693	16672.3	0.757796898
TARA_B100001063	TARA_20110311Z	TARA_093	TARA_20110312T1134Z_093_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.54852	0.800918	0.276323	0.415967	1.146895	0.995357	4762.157534	4658.680989	6.854613957	3224.71	7.329127066	17397.8	0.75062011
TARA_B100000809	TARA_20101231Z	TARA_085	TARA_20110107T1041Z_085_Combined-EVENTS_CAST	MES	mesopelagic zone (ENVO:00000213)	0	0.037107	0	0.045695	0.613024	0.49805	6142.935974	6126.020842	6.903416858	3682.18	7.147275929	17412.9	0.731930534
TARA_B100000795	TARA_20101231Z	TARA_085	TARA_20110106T1936Z_085_Combined-EVENTS_CAST	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0	0.037107	0	0.045695	0.613024	0.49805	NA	NA	NA	NA	NA	NA	NA
TARA_B100000787	TARA_20101231Z	TARA_085	TARA_20110106T1038Z_085_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0	0.037107	0	0.045695	0.613024	0.49805	2354.620891	2343.549965	5.806473488	1645.21	7.154514828	10111.2	0.775860222
TARA_B100000780	TARA_20101231Z	TARA_084	TARA_20110103T1105Z_084_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	8.10E-05	0.216062	2.00E-06	0.200735	0.426351	0.485616	2876.10206	2791.511961	6.156097984	2029.72	7.203836398	12175	0.765784249
TARA_B100000767	TARA_20101126Z	TARA_082	TARA_20101206T1858Z_082_EVENT_PUMP	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.476837	0.584962	0.800841	0.848641	0.894431	0.724874	NA	NA	NA	NA	NA	NA	NA
