Sample_event_ID	start_ISO_DateTime	end_ISO_DateTime	start_lon	start_lat	end_lon	end_lat	cruise_ID	cruise_expedition	sampling_event_type	Station_name
OSD156_20140621T1000Z	2014-06-21T10:00	2014-06-21T12:00	59.89961	10.71999	59.89961	10.71999	OSD-Jun-2043	OSD	cast	OSD156
OSD155_20140621T0700Z	2014-06-21T07:00	2014-06-21T10:00	59.81618	10.59863	59.81618	10.59863	OSD-Jun-2045	OSD	bucket	OSD155
OSD154_20140620T1120Z	2014-06-20T11:20	2014-06-20T11:40	44.66666	-1.16666	44.66666	-1.16666	OSD-Jun-2047	OSD	cast	OSD154
OSD153_20140621T1015Z	2014-06-21T10:15	2014-06-21T10:35	36.997655	-7.981656	36.997655	-7.981656	OSD-Jun-2048	OSD	bucket	OSD153
OSD152_20140620T1610Z	2014-06-20T16:10	2014-06-20T16:15	44.6936	-63.6403	44.6936	-63.6403	OSD-Jun-2049	OSD	cast	OSD152
OSD152_20140620T1630Z	2014-06-20T16:30	2014-06-20T16:35	44.6936	-63.6403	44.6936	-63.6403	OSD-Jun-2050	OSD	cast	OSD152
OSD152_20140620T1650Z	2014-06-20T16:50	2014-06-20T16:59	44.6936	-63.6403	44.6936	-63.6403	OSD-Jun-2051	OSD	cast	OSD152
OSD148_20140621T0845Z	2014-06-21T08:45	2014-06-21T09:00	53.580926	8.148636	53.580926	8.148636	OSD-Jun-2052	OSD	cast	OSD148
OSD147_20140621T0533Z	2014-06-21T05:33	2014-06-21T05:55	8.873739	81.077344	8.873739	81.077344	OSD-Jun-2053	OSD	cast	OSD147
OSD146_20140621T0542Z	2014-06-21T05:42	2014-06-21T06:29	78.453333	-2.829667	78.453333	-2.829667	OSD-Jun-2054	OSD	cast	OSD146
OSD145_20140621T1045Z	2014-06-21T10:45	2014-06-21T11:05	51.361369	3.118856	51.361369	3.118856	OSD-Jun-2055	OSD	cast	OSD145
OSD144_20140624T0608Z	2014-06-24T06:08	2014-06-24T06:08	21.26882	-157.72231	21.26882	-157.72231	OSD-Jun-2056	OSD	bucket	OSD144
OSD143_20140621T1845Z	2014-06-21T18:45	2014-06-21T20:00	31.98282	-81.01667	31.98282	-81.01667	OSD-Jun-2057	OSD	cast	OSD143
OSD142_20140621T1500Z	2014-06-21T15:00	2014-06-21T18:00	31.383607	-80.866685	31.383607	-80.866685	OSD-Jun-2058	OSD	cast	OSD142
OSD141_20140620T0845Z	2014-06-20T08:45	2014-06-20T09:00	60.16121	5.11504	60.16121	5.11504	OSD-Jun-2059	OSD	Water pump	OSD141
OSD133_20140621T0724Z	2014-06-21T07:24	2014-06-21T08:14	-33.897069	18.386825	-33.93572	18.47147	OSD-Jun-2060	OSD	cast	OSD133
OSD132_20140622T0845Z	2014-06-22T08:45	2014-06-22T09:00	32.0694	34.843	32.0694	34.843	OSD-Jun-2061	OSD	Water pump	OSD132
OSD131_20140621T0824Z	2014-06-21T08:24	2014-06-21T11:30	42.413806	27.669	42.424831	27.669019	OSD-Jun-2062	OSD	cast	OSD131
OSD130_20140621T1141Z	2014-06-21T11:41	2014-06-21T12:05	66.1316	-18.7902	66.1316	-18.7902	OSD-Jun-2063	OSD	bucket	OSD130
OSD129_20140621T1638Z	2014-06-21T16:38	2014-06-21T17:03	65.817186	-18.101835	65.48868	-18.0608	OSD-Jun-2064	OSD	cast	OSD129
OSD128_20140621T1705Z	2014-06-21T17:05	2014-06-21T17:19	65.4886	-18.0608	65.4877	-18.06032	OSD-Jun-2065	OSD	cast	OSD128
OSD127_20140621T1143Z	2014-06-21T11:43	2014-06-21T12:12	66.00776	-18.19531	66.00696	-18.19041	OSD-Jun-2066	OSD	cast	OSD127
OSD126_20140621T1215Z	2014-06-21T12:15	2014-06-21T12:31	66.00691	-18.19653	66.00659	-18.19753	OSD-Jun-2067	OSD	cast	OSD126
OSD125_20140621T1300Z	2014-06-21T13:00	2014-06-21T16:55	55.03306	-1.43278	55.03306	-1.43278	OSD-Jun-2068	OSD	bucket	OSD125
OSD124_20140621T0325Z	2014-06-21T03:25	2014-06-21T03:40	34.32444	135.12083	34.32444	135.12083	OSD-Jun-2069	OSD		OSD124
OSD123_20140622T0900Z	2014-06-22T09:00	2014-06-22T11:00	32.822	32.954	32.822	32.954	OSD-Jun-2070	OSD	cast	OSD123
OSD122_20140622T0745Z	2014-06-22T07:45	2014-06-22T08:45	29.4667	34.9291	29.4667	34.9291	OSD-Jun-2071	OSD	Water pump	OSD122
OSD118_20140621T1214Z	2014-06-21T12:14	2014-06-24T12:17	51.7423	-8.3112	51.7423	-8.3112	OSD-Jun-2072	OSD	bucket	OSD118
OSD117_20140621T1610Z	2014-06-21T16:10	2014-06-21T16:40	37.167	-7.504	37.167	-7.504	OSD-Jun-2073	OSD	bucket	OSD117
OSD116_20140621T1330Z	2014-06-21T13:30	2014-06-21T13:40	39.415067	-9.218828	39.415067	-9.218828	OSD-Jun-2074	OSD	bucket	OSD116
OSD115_20140621T1430Z	2014-06-21T14:30	2014-06-21T14:45	39.134347	-9.384778	39.134347	-9.384778	OSD-Jun-2075	OSD	bucket	OSD115
OSD114_20140621T1005Z	2014-06-21T10:05	2014-06-21T10:30	34.41	-9.51	34.41	-9.51	OSD-Jun-2076	OSD	cast	OSD114
OSD111_20140621T0830Z	2014-06-21T08:30	2014-06-21T08:50	40.659875	-8.703761	40.659875	-8.703761	OSD-Jun-2077	OSD	bucket	OSD111
OSD110_20140621T1030Z	2014-06-21T10:30	2014-06-21T10:50	40.145122	-8.869328	40.145122	-8.869328	OSD-Jun-2078	OSD	bucket	OSD110
