SampleID_Tara	Campaign	Station	Event	Env feature_abbrev	Env feature	Shannon_Darwin_mean_all	Shannon_Darwin_month_all	Shannon_Darwin_mean_grp	Shannon_Darwin_month_grp	Shannon_Physat_month	Shannon_Physat_mean	miTAG.SILVA.Chao	miTAG.SILVA.ace	miTAG.SILVA.Shannon	miTAG.SILVA.Richness	wFDc	OG.Richness	OG.Evenness
TARA_R100000084	TARA_20100309Z	TARA_038	TARA_20100315T1118Z_038_EVENT_PUMP	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.542872	0.783864	0.899091	1.260945	0.686923	0.579343	NA	NA	NA	NA	NA	NA	NA
TARA_R100000081	TARA_20100309Z	TARA_038	TARA_20100315T0335Z_038_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.542872	0.783864	0.899091	1.260945	0.686923	0.579343	NA	NA	NA	NA	NA	NA	NA
TARA_R100000030	TARA_20100309Z	TARA_036	TARA_20100312T1223Z_036_EVENT_PUMP	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.660173	0.93383	0.816203	1.250919	0.587842	0.513223	NA	NA	NA	NA	NA	NA	NA
TARA_R100000028	TARA_20100309Z	TARA_036	TARA_20100312T0606Z_036_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.660173	0.93383	0.816203	1.250919	0.587842	0.513223	NA	NA	NA	NA	NA	NA	NA
TARA_R100000008	TARA_20100118Z	TARA_034	TARA_20100120T1150Z_034_EVENT_PUMP	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.261065	0.310613	0.15628	0.1767	0.514189	0.549026	NA	NA	NA	NA	NA	NA	NA
TARA_R100000005	TARA_20100118Z	TARA_034	TARA_20100120T0427Z_034_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.261065	0.310613	0.15628	0.1767	0.514189	0.549026	NA	NA	NA	NA	NA	NA	NA
TARA_A100001518	TARA_20100108Z	TARA_032	TARA_20100111T1417Z_032_EVENT_PUMP	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.492752	0.83018	0.562304	0.965733	0.243364	0.522515	NA	NA	NA	NA	NA	NA	NA
TARA_A100001516	TARA_20100108Z	TARA_032	TARA_20100111T0721Z_032_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.492752	0.83018	0.562304	0.965733	0.243364	0.522515	NA	NA	NA	NA	NA	NA	NA
TARA_A100001392	TARA_20100108Z	TARA_031	TARA_20100109T0715Z_031_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.518846	1.024401	0.271404	0.907633	0.116059	0.457792	NA	NA	NA	NA	NA	NA	NA
TARA_E500000306	TARA_20091122Z	TARA_025	TARA_20091123T1352Z_025_EVENT_PUMP	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.276219	0.419905	0.219827	0.271091	0.309481	0.500541	NA	NA	NA	NA	NA	NA	NA
TARA_E500000318	TARA_20091122Z	TARA_025	TARA_20091123T0912Z_025_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.276219	0.419905	0.219827	0.271091	0.309481	0.500541	NA	NA	NA	NA	NA	NA	NA
TARA_S200002703	TARA_20091111Z	TARA_022	TARA_20091116T0816Z_022_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.321338	0.451653	0.42909	0.515187	0.336602	0.536506	NA	NA	NA	NA	NA	NA	NA
TARA_A100000172	TARA_20091031Z	TARA_018	TARA_20091102T1407Z_018_EVENT_PUMP	DCM	deep chlorophyll maximum layer (ENVO:01000326)	NA	NA	NA	NA	0.265612	0.455844	NA	NA	NA	NA	NA	NA	NA
TARA_A100000171	TARA_20091031Z	TARA_018	TARA_20091102T0813Z_018_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	NA	NA	NA	NA	0.265612	0.455844	NA	NA	NA	NA	NA	NA	NA
TARA_A100001374	TARA_20091214Z	TARA_030	TARA_20091215T1512Z_030_Combined-EVENTS_CAST	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.239124	0.276754	0.05146	0.083447	0.227495	0.393525	NA	NA	NA	NA	NA	NA	NA
TARA_E500000082	TARA_20091111Z	TARA_023	TARA_20091118T1240Z_023_EVENT_PUMP	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.309499	0.501187	0.456978	0.545525	0.245502	0.542748	NA	NA	NA	NA	NA	NA	NA
TARA_A100001017	TARA_20091214Z	TARA_030	TARA_20091215T1041Z_030_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.239124	0.276754	0.05146	0.083447	0.227495	0.393525	3185.33354	3026.731429	6.378839697	2214.98	7.115040546	12611.5	0.753523663
TARA_E500000056	TARA_20091111Z	TARA_023	TARA_20091118T0841Z_023_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.309499	0.501187	0.456978	0.545525	0.245502	0.542748	3734.949352	3631.551225	6.583423185	2658	7.133620618	14477.2	0.744611238
